code,entry_date,exit_date,entry_price,exit_price,qty,pnl,pnl_pct,hold_days,exit_reason,q_score
067160,20231227,20240201,87174.0,100598.4,50,661411.6560000004,0.15174516621928566,25,MA20,61.25
036930,20240122,20240201,34017.9,31087.7,126,-376843.44788999995,-0.0879190371833652,9,MA20,45.0
236200,20240122,20240201,27555.0,24318.765,156,-512250.4283130001,-0.11916735952640177,9,SL,43.5
001740,20240122,20240201,6382.74,7496.288805714286,674,740679.522674079,0.17217230257587557,9,TP,36.0
053800,20240122,20240206,72645.0,69560.6,59,-189982.54702999955,-0.04432573707756889,12,MA20,54.0
009540,20240208,20240214,121342.2,114071.4,34,-254770.1338200001,-0.061752953465488536,3,MA20,52.5
000810,20240208,20240214,333666.0,300652.77514285716,12,-403193.9732240564,-0.10069799670530222,3,SL,43.5
021240,20240208,20240214,62124.0,56991.93057142857,67,-351294.6474434426,-0.08439900349600332,3,SL,43.5
267250,20240115,20240215,67835.4,67864.0,62,-6431.557599999942,-0.0015292133605757329,22,MA20,54.0
161390,20240122,20240215,47344.5,55180.346714285704,90,695542.0534373568,0.16323427300304902,17,TP,52.5
005930,20240208,20240215,74248.2,72854.0,56,-86030.85679999972,-0.02069094334946834,4,MA20,52.5
207940,20240110,20240220,1100116.842,1201478.228,4,396074.0138216,0.09000726075185385,28,MA20,61.25
000660,20240208,20240223,143085.6,162902.00022857144,29,565463.498515646,0.13627326109773255,10,TP,52.5
105560,20240208,20240226,67735.2,60693.926028571426,62,-443896.8818854252,-0.10570024340644567,11,SL,49.5
055550,20240208,20240226,44238.3,39854.85911428572,94,-419348.83893279126,-0.10084379058388639,11,SL,42.0
034730,20240208,20240226,196392.0,189819.6,21,-145793.5126199997,-0.03535046346083336,11,MA20,42.0
028260,20240208,20240227,156813.0,147105.2,26,-259861.03364000004,-0.06373613884052981,12,MA20,49.5
097950,20240208,20240227,296592.0,297903.0,14,10221.248099999968,0.0024615942102281844,12,MA20,45.0
000270,20240208,20240227,113426.4,112374.8,37,-47017.04181999946,-0.011203131369769167,12,MA20,42.0
032830,20240208,20240228,83166.0,98718.168,50,767983.3786200006,0.18468686208787258,13,TP,42.0
010950,20240208,20240229,69538.8,76029.29382857142,60,380534.2023363421,0.09120428747124916,14,TP,45.0
006650,20240304,20240305,149799.0,143213.0,28,-192227.42980000004,-0.04582984766253447,2,MA20,57.5
006110,20240304,20240305,96693.0,93313.0,44,-156726.25539999967,-0.0368378305565035,2,MA20,53.75
011070,20240304,20240306,205410.0,186127.0,20,-392918.9530000002,-0.09564260576408165,3,MA20,53.75
036620,20240304,20240307,2935.86,2764.46,1449,-256169.71995300055,-0.060217686470063404,4,MA20,53.75
078150,20240304,20240307,2259.51,2190.61,1883,-137782.29132849956,-0.03238387504370406,4,MA20,53.75
029780,20240208,20240308,35470.8,39552.25125714287,118,472510.2753285896,0.11289072609558952,19,TP,49.5
247540,20240304,20240308,270540.0,246506.0,15,-367720.3004999999,-0.09061390810970649,5,MA20,53.75
005380,20240208,20240311,250500.0,243013.0,16,-127374.0055999998,-0.03177994151696602,20,MA20,43.5
016360,20240304,20240311,42033.9,39720.4,101,-241486.43277999992,-0.05688158319832323,6,MA20,61.25
071050,20240304,20240311,73747.2,67664.4,57,-354240.49805999966,-0.08427093611689657,6,MA20,47.5
004490,20240208,20240312,80460.6,80339.0,52,-14469.574599999934,-0.0034583516652870938,21,MA20,43.5
010950,20240305,20240313,74248.2,73652.4,60,-44365.33080000058,-0.009958789303983256,7,MA20,52.5
003230,20240304,20240314,191382.0,184530.2,22,-158655.9455799996,-0.03768188173391427,9,MA20,47.5
010140,20240304,20240315,7635.24,9336.52952,557,937477.3911018521,0.22043619944310855,10,TP,57.5
002380,20240308,20240318,292083.0,273951.0,14,-261326.86230000015,-0.06390719230492706,7,MA20,52.5
066570,20240314,20240318,99498.6,95907.8,41,-154890.62860999955,-0.03796857654278542,3,MA20,52.5
039440,20240304,20240319,34418.7,34780.3,123,36134.74504500069,0.008535430303875673,12,MA20,61.25
000660,20240304,20240319,166833.0,159879.6,25,-181629.13049999997,-0.043547530884177586,12,MA20,43.75
015760,20240304,20240319,24799.5,22355.2,171,-425429.64143999945,-0.10032027419907646,12,MA20,43.75
000270,20240306,20240319,127254.0,118662.2,29,-255872.54741000012,-0.0693352766121301,10,MA20,54.0
033780,20240314,20240319,95390.4,92215.2,42,-140910.82487999974,-0.03517146002113414,4,MA20,54.0
036810,20240304,20240322,23098.104,22466.976,184,-124188.70298880013,-0.02922051971018923,15,MA20,53.75
003690,20240307,20240326,7100.172,6920.132,576,-111475.73226239998,-0.02725768578564012,14,MA20,54.0
086790,20240208,20240327,56713.2,58782.2,74,144623.72853999957,0.03446066718153788,32,MA20,42.0
005940,20240305,20240327,11913.78,12325.3,378,146469.5813699998,0.03252415815971081,17,MA20,52.5
105560,20240307,20240327,71342.4,68862.0,57,-149036.8112999997,-0.03664974685460533,15,MA20,52.5
055550,20240308,20240327,46092.0,46906.0,90,65027.99700000044,0.01567589386444513,14,MA20,60.0
000810,20240319,20240327,308115.0,306386.0,12,-27917.432399999816,-0.007550598640118088,7,MA20,42.0
316140,20240322,20240327,15230.4,14580.78,304,-206127.9663839992,-0.04451967912858477,4,MA20,52.5
138930,20240314,20240328,8356.68,7964.04,488,-199186.90046400065,-0.04884354528353381,11,MA20,54.0
012330,20240304,20240329,252504.0,254490.0,16,23835.91200000001,0.005899884754300925,20,MA20,47.5
017670,20240314,20240329,54108.0,52395.0,75,-136137.76875000028,-0.03354716954978938,12,MA20,54.0
064760,20240318,20240329,102905.4,122374.44634285713,43,826907.8954170085,0.18687470407275586,10,TP,45.0
001040,20240318,20240329,112524.6,132081.33651428574,39,752667.9384152321,0.17151074438907468,10,TP,43.5
066570,20240327,20240329,97194.0,94909.8,43,-106178.78672999982,-0.025405622877955385,3,MA20,52.5
009540,20240327,20240329,120440.4,118163.2,35,-87766.63840000005,-0.020820407770150227,3,MA20,52.5
207940,20240314,20240401,1238737.53,1198541.114,3,-127600.71351689985,-0.03433622550557579,13,MA20,52.5
122870,20240318,20240402,45290.4,43512.8,98,-182520.09607999958,-0.04112240033207911,12,MA20,45.0
034020,20240319,20240402,17875.68,16746.44,218,-253293.23164399993,-0.06499867742094284,11,MA20,42.0
161390,20240327,20240402,56913.6,52494.8,74,-334566.1996399993,-0.07943909469792794,5,MA20,54.0
078890,20240327,20240402,7317.606,6622.728,576,-407688.37608959945,-0.09672457352855553,5,MA20,52.5
