ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_amount,hold_days,exit_reason,source
199820,2025-01-16,2025-01-17,12630.0,13608.0,0.0615916259279059,542590.3098000012,1,SAT2_TRAIL,SAT2
055550,2024-12-18,2025-01-20,48850.0,49950.0,0.007482377850013933,102641.31000000186,20,CORE_REBAL,CORE
086790,2024-12-18,2025-01-20,57900.0,57200.0,-0.02661645761960041,-364510.85000000015,20,CORE_REBAL,CORE
000680,2025-01-21,2025-01-20,4485.0,4423.5,-0.028215163311385627,-248494.09004999988,-1,SAT2_TRAIL,SAT2
036000,2025-01-22,2025-01-21,2545.0,2601.0,0.006975952965839971,61559.39400000031,-1,SAT1_TRAIL,SAT1
025880,2025-01-21,2025-01-21,3510.0,3456.0,-0.029862814780847402,-263011.001399999,0,SAT2_TRAIL,SAT2
024830,2025-01-24,2025-01-23,12440.0,11700.0,-0.07331525150828289,-638907.1199999995,-1,SAT2_TRAIL,SAT2
098460,2025-01-24,2025-01-23,15460.0,14787.0,-0.05759600758073813,-501884.37599999947,-1,SAT2_TRAIL,SAT2
394280,2025-01-22,2025-02-03,16300.0,14832.0,-0.10344147092975409,-911318.8571999999,4,SAT1_TRAIL,SAT1
411080,2025-02-04,2025-02-03,10070.0,9945.0,-0.02693500193133902,-235597.70549999975,-1,SAT1_TRAIL,SAT1
900290,2025-02-04,2025-02-03,5540.0,4986.0,-0.11323397913561828,-990656.8721999984,-1,SAT2_TRAIL,SAT2
300080,2025-02-04,2025-02-03,8972.0,8074.8,-0.11323397913561839,-990840.1359599993,-1,SAT2_TRAIL,SAT2
067160,2025-02-07,2025-02-06,126300.0,122310.0,-0.045831336219560925,-396176.3639999995,-1,SAT2_TRAIL,SAT2
382150,2025-02-07,2025-02-06,12600.0,11763.0,-0.08015619899226456,-697341.5694000002,-1,SAT2_TRAIL,SAT2
009540,2024-12-18,2025-02-10,208500.0,221320.0,0.04587826132536588,625806.6099999996,31,CORE_TRAIL,CORE
001530,2025-01-21,2025-02-10,47477.0,41989.2,-0.1285933585788046,-1763589.416820001,10,CORE_TRAIL,CORE
172670,2025-02-11,2025-02-10,12410.0,11952.0,-0.05106746518299865,-436300.75439999957,-1,SAT1_TRAIL,SAT1
102120,2025-02-11,2025-02-10,13150.0,12753.0,-0.04445060717503513,-379469.56049999857,-1,SAT1_TRAIL,SAT1
175330,2024-12-18,2025-02-11,16800.0,17820.0,0.04511709601873548,618707.0340000002,32,CORE_TRAIL,CORE
172670,2025-02-12,2025-02-11,14020.0,14013.0,-0.015196366272580475,-128877.1778999994,-1,SAT2_TRAIL,SAT2
482630,2025-02-12,2025-02-11,14125.0,12937.5,-0.09753900531501003,-826469.4750000002,-1,SAT2_TRAIL,SAT2
105560,2024-12-18,2025-02-12,84500.0,82104.0,-0.04264250654767676,-583900.8251999997,33,CORE_TRAIL,CORE
259960,2025-01-21,2025-02-12,346000.0,343200.0,-0.022677911494361824,-308004.8399999999,12,CORE_TRAIL,CORE
241520,2025-02-17,2025-02-14,4435.0,4410.0,-0.020258511333603124,-171365.79749999903,-1,SAT2_TRAIL,SAT2
105550,2025-02-18,2025-02-18,3995.0,4320.0,0.06545103883580272,557144.650500001,0,SAT1_TRAIL,SAT1
010140,2024-12-18,2025-02-19,11100.0,13393.6,0.1888878255304487,2591427.6713600024,38,CORE_TRAIL,CORE
360070,2025-02-20,2025-02-19,38800.0,41760.0,0.060462457940909875,519462.2400000006,-1,SAT2_TRAIL,SAT2
098120,2025-02-20,2025-02-19,8850.0,8883.0,-0.011030437747859168,-94815.01349999971,-1,SAT2_TRAIL,SAT2
032830,2025-01-21,2025-02-21,88500.0,91256.0,0.015978907721280633,219192.08080000101,19,CORE_TRAIL,CORE
025900,2025-02-25,2025-02-25,12800.0,12681.0,-0.023864591095379972,-203840.87489999935,0,SAT2_TRAIL,SAT2
036810,2025-02-25,2025-02-26,23503.0,21465.0,-0.10014170116089427,-855183.3689999987,1,SAT1_TRAIL,SAT1
091440,2025-02-28,2025-02-27,4235.0,4279.5,-0.004351256384856117,-37335.81554999964,-1,SAT2_TRAIL,SAT2
009540,2025-02-25,2025-02-28,209000.0,208120.0,-0.018853034224906584,-249851.4480000005,3,CORE_TRAIL,CORE
000990,2025-02-18,2025-02-28,44750.0,44370.0,-0.02307117701421213,-196398.59400000013,8,SAT1_TRAIL,SAT1
138930,2025-01-21,2025-03-04,11550.0,10824.0,-0.0766372862110567,-1051278.7559999991,25,CORE_TRAIL,CORE
005010,2025-03-05,2025-03-04,5700.0,5445.0,-0.05878343399482311,-493724.4839999994,-1,SAT1_TRAIL,SAT1
038390,2025-02-17,2025-03-04,13500.0,14110.0,0.02981634192563165,251995.2140000004,10,SAT2_TIME,SAT2
140860,2025-02-25,2025-03-05,213000.0,196240.0,-0.09223284332589332,-1206170.8119999992,5,CORE_TRAIL,CORE
005010,2025-03-06,2025-03-05,6720.0,6237.0,-0.08552254098360645,-721323.5336999992,-1,SAT2_TRAIL,SAT2
092790,2025-03-06,2025-03-05,16250.0,16191.0,-0.01828180213229391,-153990.30449999997,-1,SAT2_TRAIL,SAT2
039200,2025-03-05,2025-03-06,31200.0,28665.0,-0.09475968703427717,-794517.1064999998,1,SAT1_TRAIL,SAT1
175330,2025-02-25,2025-03-10,18380.0,16570.4,-0.11171154200633826,-1481755.2974399964,8,CORE_TRAIL,CORE
